PatentID	Example	Production
JP1976-074627	Example01P	Miranda Auto EC 135mm F2.8
JP1976-114926	Example01P	Miranda Auto EC 200mm F3.5
JP1977-141223	Example01P	Mamiya 150mm f/4 Soft
JP1978-066222	Example01P	Mamiya-Sekor CS 35mm f2.8
JP1978-087728	Example01P	Mamiya-Sekor Macro C 80mm f4
JP1978-129629	Example02P	Yashica ML 300mm F5.6
JP1978-131034	Example01P	Ricoh XR Rikenon 50mm F2.0
JP1978-133028	Example01P	Canon New FD 100mm f2
JP1979-030821	Example01P	Konica Minolta Hexanon 40mm F1.8
JP1979-055423	Example01P	Konica Minolta Hexanon AR 135mm F3.5
JP1979-055424	Example01P	Konica Minolta Hexanon 200mm F4
JP1979-080143	Example01P	Topcon 35-100mm F3.5-4.3
JP1979-099427	Example01P	Ricoh smc Pentax 6x7 75mm f4.5 Shift
JP1979-107336	Example01P	Mamiya 55mm f2.8N
JP1980-000560	Example01P	Fujifilm Fujinon 85mm F4.0 SF EBC
JP1980-017129	Example01P	Konica Minolta Hexanon 21mm F2.8
JP1980-021005	Example01P	Konica Minolta Zoom-Hexanon AR 35-70mm F3.5
JP1980-028038	Example01	Nikon AI Micro-Nikkor 55mm f/2.8
JP1980-087117	Example01P	Konica Minolta Hexanon 24mm F2.8
JP1980-121418	Example01P	Canon New FD50-135mm f3.5
JP1980-166613	Example02P	Nikon Nikkor 300mm ED f/4.5 with Nikon TC-301
JP1980-166613	ExampleRCL2P	Nikon TC-301
JP1981-012612	Example01P	Ricoh XR Rikenon 28mm F2.8
JP1981-035116	Example01P	Nikon AI Nikkor 600mm f/5.6 IF-ED
JP1981-075613	Example01P	Canon FD50mm f/1.2L
JP1981-119110	Example01	Nikon E 75-150mm f/3.5
JP1981-140311	Example01P	Fujifilm Fujinon-SW 65mm F5.6
JP1981-150717	Example01P	Konica Minolta 75-150mm F4.0 MD Zoom
JP1981-158314	Example01P	Konica Minolta 24-35mm F3.5 MD Zoom
JP1981-159613	Example01P	Canon New FD300mm f2.8L
JP1982-019708	Example01P	Konica Minolta Zoom-Hexanon AR 35-70mm F4
JP1982-064716	Example01P	Canon New FD14mm f2.8L
JP1982-108817	Example01P	Konica Minolta Hexanon 50mm F1.8
JP1982-161804	Example01P	Tokina AT-X 35-200mm F3.5-4.5 (AT-X352)
JP1982-197509	Example01P	Olympus Zuiko Auto-Zoom 35-70mm F4 AF
JP1983-001118	Example01P	Konica Minolta AF 70-210mm F4
JP1983-014810	Example03P	Olympus Zuiko Auto-T 350mm F2.8
JP1983-137812	Example01P	Konica Minolta Zoom-Hexanon AR 70-150mm F4
JP1983-149014	Example03P	Konica Minolta Zoom-Hexanon AR 65-135mm F4
JP1984-088715	Example01P	Ricoh smc Pentax 6x7 800mm f6.7
JP1984-176717	Example01P	Olympus Zuiko Auto-T 180mm F2
JP1984-228220	Example03P	Konica Minolta AF 50mm F2.8 Macro
JP1985-039613	Example01P	Konica Minolta AF 28-135mm F4-4.5
JP1985-088917	Example01P	Canon New FD75-200mm f4.5
JP1985-111215	ExampleMLP	Konica Minolta 50mm F1.7 MD
JP1986-051117	Example01P	Ricoh smc Pentax 6x7 300mm f4 ED [IF]
JP1986-051117	Example02P	Ricoh smc Pentax 6x7 400mm f4 ED [IF]
JP1986-067815	Example01P	Kino Precision Kiron 105mm F2.8 MC Macro
JP1986-077818	Example01P	Canon EF100-300mm f5.6
JP1986-090115	Example04P	Nikon UV-Micro-Nikkor 105mm f/4.5
JP1986-112115	ExampleML2P	Olympus Zuiko Auto-T 180mm F2.8
JP1986-133916	Example04P	Konica Minolta AF 75-300mm F4.5-5.6
JP1986-169808	Example01P	Nikon AI-S Zoom-Nikkor 35-135mm f/3.5-4.5
JP1986-212814	Example03P	Canon New FD35-105mm f3.5-4.5
JP1986-215513	Example01P	Tokina AT-X 300mm f2.8 AF
JP1986-285417	Example01P	Ricoh smc Pentax-A 645 35mm f3.5
JP1987-078520	Example01P	Canon EF28mm f2.8
JP1987-108218	Example03P	Nikon AF Zoom-Nikkor 80-200mm f/2.8D ED
JP1987-124516	Example01P	Canon EF35-70mm f3.5-4.5
JP1987-184425	Example01P	Sigma 600mm F8 Mirror MF ZEN
JP1987-244010	Example01P	Konica Minolta AF 85mm F1.4
JP1987-244010	Example02P	Konica Minolta AF 100mm F2
JP1987-249119	Example04P	Konica Minolta AF 20mm F2.8
JP1988-017421	Example03P	Canon EF15mm f2.8 Fisheye
JP1988-070818	Example01P	Konica Minolta AF 3x-1x 1.7-2.8 Macro
JP1988-081312	ExampleMLP	Canon FD50mm f1.8 SC
JP1988-106715	Example02P	Canon Extender EF2X
JP1988-118116	Example03P	Nikon AF Zoom-Nikkor 70-210mm f/4-5.6
JP1988-147127	Example01P	Canon Extender EF1.4X
JP1988-179308	Example02P	Canon EF50mm f2.5 Compact Macro
JP1988-200113	Example02P	Konica Minolta APO Tele Converter 1.4x
JP1988-201614	Example04P	Konica Minolta AF 35mm F2
JP1989-031113	Example05P	Nikon R-UW AF Nikkor 28mm f/2.8
JP1989-039542	Example01P	Konica Minolta AF 80-200mm F2.8 APO
JP1989-078210	Example01P	Nikon AI-S AF Zoom-Nikkor 75-300mm f/4.5-5.6
JP1989-102413	Example01P	Canon EF200mm f1.8L USM
JP1989-189622	Example01P	Canon EF28-70mm f3.5-4.5 II
JP1989-193709	Example01P	Konica Minolta 28-85mm F3.5-4.5 MD Zoom
JP1989-223409	Example07P	Konica Minolta AF 70-210mm F3.5-4.5
JP1989-223410	Example05P	Konica Minolta AF 80-200mm F4.5-5.6
JP1989-284819	Example04P	Konica Minolta AF 35-80mm F4-5.6
JP1989-316714	Example03P	Sigma Macro 90mm F2.8
JP1990-248910	Example01P	Sigma 15mm F2.8 EX DG Diagonal Fisheye
JP1991-141313	Example01P	Canon EF100mm f2.8 Macro
JP1991-278012	Example02P	Sigma APO Macro 180mm F2.8
JP1992-015611	Example01P	Canon EF35mm f2
JP1992-019706	Example01P	Canon EF35-80mm f4-5.6 III
JP1992-110811	Example03P	Sigma APO Macro 180mm F5.6 UC
JP1992-293008	Example01P	Nikon AF Zoom-Nikkor 35-105mm f/3.5-4.5D
JP1993-027163	Example02P	Canon EF200mm f2.8L II USM
JP1993-034592	Example02P	Canon EF14mm f2.8L USM
JP1993-157964	Example01P	Canon EF85mm f1.8 USM
JP1994-051202	Example01P	Sigma APO Zoom 70-210mm F2.8
JP1994-082698	Example01P	Konica Minolta AF 28-70mm F2.8 G
JP1994-230281	Example01P	Canon EF20-35mm f3.5-4.5 USM
JP1994-230285	Example01P	Canon EF28-105mm f3.5-4.5 USM
JP1994-242370	Example02P	Canon EF50mm F1.4 USM
JP1995-151965	ExampleMLP	Canon New FD50mm f1.4
JP1995-209571	Example02P	Nikon AF Nikkor 85mm f/1.8D
JP1995-318801	Example01	Canon 250D (52mm)
JP1995-318801	Example02	Canon 250D (58mm)
JP1995-318801	Example03	Canon 250D (72mm)
JP1995-318801	Example04	Canon 250D (77mm)
JP1995-318802	Example01	Canon 500D (52mm)
JP1995-318802	Example02	Canon 500D (58mm)
JP1995-318802	Example03	Canon 500D (72mm)
JP1995-318802	Example04	Canon 500D (77mm)
JP1996-005914	Example03P	Nikon AF Zoom-Nikkor 35-80mm f/4.0-5.6D II
JP1996-110467	Example02P	Canon EF20mm f2.8 USM
JP1997-105860	Example01_Tale54	Nikon 400mm f/8 Dodotto Tele
JP1997-211319	Example01P	Canon EF180mm f3.5L Macro USM
JP1997-297263	Example01P	Phase One Mamiya AF 55mm f2.8
JP1997-304697	Example01P	Canon EF24-85mm f3.5-4.5 USM
JP1998-039215	Example02P	Sigma APO 135-400mm F4.5-5.6 RF ZEN
JP1998-206729	Example01P	Mamiya AF APO 300mm f4.5 IF
JP1998-206733	Example05	Nikon IX-Nikkor 30-60mm f/4-5.6
JP1999-030743	Example06P	Canon EF24mm f1.4L USM
JP1999-030748	Example01P	Nikon AF Zoom-Nikkor 28-80mm f3.5-5.6D
JP1999-052234	ExampleMLP	Mamiya RZ67 250mm f4.5 APO
JP1999-133304	Example01P	Canon EF55-200mm f4.5-5.6 USM
JP1999-142740	Example01P	Nikon AF Zoom-Nikkor 28-105mm f/3.5-4.5D IF
JP1999-160615	Example01P	Konica Minolta Hexanon 60mm F1.2 (1999)
JP1999-211978	Example01P	Canon EF35mm f1.4L USM
JP1999-231209	Example01P	Konica Minolta 135mm F2.8 T4.5 STF
JP1999-281892	Example06P	Canon MP-E65mm f2.8 1-5X Macro Photo
JP1999-305119	Example06	Nikon FC-E8
JP1999-326756	Example03P	Cosina Super Wide-Heliar 15mm F4.5 Aspherical SL
JP2000-019398	Example01	Nikon AI AF-S Zoom-Nikkor 80-200mm f/2.8D IF-ED
JP2000-028919	Example01P	Mamiya 210mm f8
JP2000-047107	Example02P	Canon EF100-400mm f4.5-5.6L IS USM
JP2000-187161	Example03P	Konica Minolta AF 24-105mm F3.5-4.5 D
JP2000-221399	Example01P	Nikon AF-S Zoom-Nikkor 28-70mm f/2.8D IF-ED
JP2000-275517	Example01	Nikon TC-E2
JP2000-284174	Example02P	Canon EF70-200mm f4L USM
JP2000-292689	Example02P	Nikon PC-E Micro-Nikkor 85mm f/2.8D
JP2000-321497	Example01P	Nikon AF Zoom-Nikkor 24-85mm f/2.8-4D IF
JP2001-033704	Example01P	Sigma APO Macro 180mm F3.5 EX DG IF HSM
JP2001-108902	Example01P	Sigma APO 50-500mm F4-6.3 EX DG HSM
JP2001-174702	Example01	Nikon TC-E3ED
JP2001-183581	Example01P	Mamiya Sekor D AF 150mm f2.8
JP2001-330771	Example01P	Sigma 28mm F1.8 EX DG Aspherical Macro
JP2001-330771	Example02P	Sigma 24mm F1.8 EX DG Aspherical Macro
JP2001-350089	Example01P	Sigma 28-80mm F3.5-5.6 Aspherical Macro HF
JP2001-350095	Example01P	Canon EF28-200mm f3.5-5.6 USM
JP2002-287031	Example01P	Canon EF16-35mm f2.8L USM
JP2002-365547	Example01P	Canon EF28-105mm f3.5-4.5 II USM
JP2003-005030	Example06	Nikon AI Nikkor 45mm f/2.8P
JP2003-177313	Example01_Tale22	Nikon Zoom-Nikkor 8-24mm f2.8-4.9 (Coolpix 4300)
JP2003-185916	Example01P	Phase One Schneider Kreuznach 120mm LS f4 Macro
JP2003-241093	Example02P	Nikon AF-S Zoom-Nikkor 24-85mm f/3.5-4.5G IF-ED
JP2003-329924	Example02P	Tamron SP AF 180mm F3.5 Di LD [IF] Macro B01
JP2003-344768	Example01P	Tamron SP AF 200-500mm F5.0-6.3 Di LD [IF] A08
JP2004-085846	Example02P	Sigma APO 300-800mm F5.6 EX DG HSM
JP2004-101739	Example01P	Konica Minolta AF 28-75mm F2.8 D
JP2004-101880	Example02P	Cosina Voigtlander Nokton 35mm F1.2 Aspherical
JP2004-109559	Example01P	Konica Minolta AF 70-200mm F2.8 APO G D SSM
JP2004-302170	Example04P	Hasselblad HC 4 120 Macro (Fujinon)
JP2005-106878	Example01P	Sigma 12-24mm F4.5-5.6 EX DG Ashperical HSM
JP2005-107261	Example05P	Nikon AF-S Teleconverter TC-17E II
JP2005-331697	Example01P	Sigma 18-125mm F3.5-5.6 DC
JP2006-153942	Example01P	Canon EF-S60mm f2.8 Macro USM
JP2006-201524	Example01P	Olympus Zuiko Digital ED 90-250mm F2.8
JP2006-259016	Example01P	Sigma 18-200mm F3.5-6.3 DC
JP2006-300972	Example03P	Phase One Schneider Kreuznach 28mm LS f4.5
JP2007-003600	Example01P	Canon EF70-300mm f4-5.6 IS USM
JP2007-108398	Example01P	Canon EF-S17-55mm f2.8 IS USM
JP2007-133138	Example02P	Tamron SP AF 17-50mm F2.8 XR Di II LD Aspherical [IF] A16 A16N II
JP2008-003108	Example01P	Sigma 8mm F3.5 EX DG Circular Fisheye
JP2008-020656	Example01P	Sigma Macro 70mm F2.8 EX DG
JP2008-040033	Example01P	Sigma 16.6mm F4 (dp1x)
JP2008-070450	Example01P	Canon EF70-200mm f4L IS USM
JP2008-145584	Example01P	Canon EF200mm f2L IS USM
JP2008-151949	Example02P	Nikon PC-E Nikkor 24mm f/3.5D ED
JP2009-175324	Example01P	Canon EF-S18-200mm f3.5-5.6 IS
JP2009-282554	Example06P	Canon EF28-90mm f4-5.6 II USM
JP2010-101979	Example05P	Sigma 24.2mm F2.8 (dp2x)
JP2010-152247	Example01P	Sigma 50-200mm F4-5.6 DC OS HSM
JP2010-164839	Example04P	Ricoh 6.0mm F1.9 VC (GR)
JP2010-211056	Example01P	Sigma 18-50mm F2.8-4.5 DC OS HSM
JP2010-217838	Example01P	Sigma 70-300mm F4-5.6 DG OS
JP2010-237453	Example01P	Canon EF-S18-135mm f3.5-5.6 IS
JP2010-243737	Example04P	Sigma 10-20mm F3.5 EX DC HSM
JP2011-039260	Example02P	Sigma APO 50-500mm F4.5-6.3 DG OS HSM
JP2011-048232	Example03P	Panasonic Leica DG Macro-Elmarit 45mm F2.8 Asph Mega OIS
JP2011-128361	Example01P	Sigma 17-70mm F2.8-4 DC Macro OS HSM
JP2011-170128	Example05P	Sigma 85mm F1.4 EX DG HSM
JP2011-221421	Example04P	Nikon AF-S Nikkor 24-85mm f/3.5-4.5G ED VR
JP2011-227124	Example04P	Sigma 8-16mm F4.5-5.6 DC HSM
JP2011-248340	Example01P	Nikon 1 Nikkor 10mm f/2.8
JP2012-003015	Example01P	Ricoh 18.3mm F2.5 (A12)
JP2012-027217	Example05P	Sigma 120-300mm F2.8 DG OS HSM Sport
JP2012-058682	Example04P	Sigma Macro 105mm F2.8 EX DG OS HSM
JP2012-063403	Example02P	Sigma APO Macro 150mm F2.8 EX DG OS HSM
JP2012-159613	Example01P	Sony E 30mm F3.5 Macro
JP2012-234169	Example01P	Sigma 30mm F2.8 DN A
JP2012-242690	Example02P	Sony E 50mm F1.8 OSS
JP2013-003324	Example02P	Panasonic Leica DG Summilux 25mm F1.4 II Asph
JP2013-054269	Example01P	Canon EF28mm f2.8 IS USM
JP2013-104994	Example02P	Sigma APO Macro 180mm F2.8 EX DG OS HSM
JP2013-140404	Example01P	Canon EF70-300mm f4-5.6L IS USM
JP2013-156459	Example04P	Sigma 30mm F2.8 (dp2 Merrill/Quattro)
JP2013-161076	Example01P	Olympus M.Zuiko Digital ED 75mm F1.8
JP2013-186458	Example03P	Olympus M.Zuiko 17mm F1.8
JP2013-250290	Example01TCP	Nikon AF-S Teleconverter TC800-1.25E ED
JP2013-250293	Example01P	Nikon AF-S Nikkor 800mm f/5.6E FL ED VR
JP2013-254160	Example07P	Tamron 28-300mm F3.5-6.3 Di VC PZD
JP2013-257508	Example01P	Sigma 18-250mm F3.5-6.3 DC Macro OS HSM
JP2014-026184	Example04P	Ricoh smc Pentax-DA 50mm F1.8
JP2014-041222	Example01P	Canon EF24-70mm f2.8L USM
JP2014-041222	Example02P	Canon EF16-35mm f2.8L II USM
JP2014-048480	Example02P	Sigma 17-70mm F2.8-4 DC Macro OS HSM C
JP2014-048488	Example03P	Sigma 35mm F1.4 DG HSM Art
